sector,ib,bestW
0,0,31
0,1,32
0,2,35
0,3,34
0,4,34
0,5,34
1,0,25
1,1,26
1,2,28
1,3,28
1,4,29
1,5,28
2,0,25
2,1,25
2,2,28
2,3,28
2,4,28
2,5,28
3,0,30
3,1,30
3,2,34
3,3,33
3,4,33
3,5,33
4,0,26
4,2,29
4,3,29
4,4,29
4,5,29
5,0,30
5,1,30
5,2,34
5,3,33
5,4,34
5,5,34
6,0,25
6,1,25
6,2,29
6,3,30
6,4,29
6,5,29
7,0,25
7,1,25
7,2,29
7,3,29
7,4,30
7,5,29
8,0,30
8,1,31
8,2,34
8,3,36
8,4,35
8,5,36
9,0,30
9,1,30
9,2,34
9,3,34
9,4,34
9,5,35
10,0,29
10,1,29
10,2,34
10,4,34
10,5,34
11,0,29
11,1,30
11,2,34
11,3,34
11,4,34
11,5,33
12,0,25
12,1,25
12,2,29
12,3,29
12,4,29
12,5,29
13,0,31
13,1,30
13,2,34
13,3,34
13,4,34
13,5,33
14,0,25
14,1,26
14,2,29
14,3,29
14,4,28
14,5,28
15,0,26
15,1,25
15,2,29
15,3,29
15,4,29
15,5,29
16,0,30
16,1,30
16,2,34
16,3,34
16,4,33
16,5,34
17,0,25
17,1,25
17,2,29
17,3,29
17,4,29
17,5,28
18,0,29
18,1,29
18,2,34
18,3,33
18,4,32
18,5,33
19,0,25
19,1,26
19,2,29
19,3,30
20,0,28
20,1,27
20,2,29
20,3,31
20,4,31
20,5,31
21,0,31
21,1,34
21,2,35
21,3,36
21,4,36
21,5,35
22,0,27
22,1,26
22,2,30
22,3,30
22,4,31
22,5,29
23,0,27
23,1,40
23,2,30
23,3,29
23,4,29
24,0,29
24,1,30
24,2,34
24,3,34
24,4,34
24,5,35
25,0,31
25,1,30
25,3,35
25,4,34
25,5,34
26,0,28
26,1,29
26,2,34
26,3,34
26,4,34
26,5,33
27,0,29
27,1,29
27,2,33
27,3,34
27,4,33
27,5,33
28,0,25
28,1,25
28,2,28
28,3,28
28,4,28
28,5,28
29,0,24
29,1,24
29,2,28
29,3,28
29,4,28
30,0,25
30,1,25
30,2,28
30,3,29
30,4,28
30,5,28
31,0,24
31,1,24
31,2,28
31,3,28
31,4,28
31,5,28
32,0,31
32,1,30
32,2,34
32,3,34
32,4,35
32,5,34
33,0,25
33,1,25
33,2,28
33,3,28
33,4,27
33,5,28
34,0,25
34,1,25
34,2,29
34,3,28
34,4,28
34,5,28
35,0,30
35,1,30
35,2,33
35,3,33
35,4,33
35,5,32
36,0,24
36,1,25
36,2,28
36,3,29
36,4,28
36,5,28
37,0,30
37,1,29
37,2,33
37,3,33
37,4,33
37,5,33
38,0,27
38,1,25
38,2,28
38,3,28
38,4,27
38,5,28
39,0,25
39,1,25
39,2,29
39,3,28
39,4,27
39,5,28
40,0,32
40,1,32
40,2,36
40,3,35
40,4,35
40,5,35
41,0,31
41,1,31
41,2,36
41,3,36
41,4,35
41,5,36
42,0,30
42,1,30
42,2,34
42,3,35
42,4,34
42,5,33
43,0,30
43,1,31
43,2,35
43,3,34
43,4,33
43,5,34
44,0,25
44,1,26
44,2,29
44,3,29
44,4,29
44,5,29
45,0,31
45,1,30
45,2,34
45,3,34
45,4,35
45,5,29
46,0,26
46,1,27
46,2,30
46,3,29
46,4,30
46,5,29
47,0,26
47,1,25
47,2,30
47,3,30
47,4,29
47,5,29
48,0,28
48,1,29
48,2,33
48,3,34
48,4,33
48,5,33
49,0,24
49,1,24
49,2,27
49,3,27
49,4,27
49,5,27
50,0,28
50,2,32
50,3,32
50,4,32
50,5,31
51,0,24
51,1,24
51,2,27
51,3,28
51,4,27
51,5,27
52,0,24
52,1,24
52,2,27
52,3,27
52,4,27
52,5,29
53,0,24
53,1,24
53,2,27
53,3,28
53,4,27
53,5,27
54,0,29
54,1,29
54,2,33
54,3,33
54,5,31
55,0,24
55,1,24
55,2,28
55,3,27
55,4,28
55,5,27
56,0,30
56,1,30
56,2,35
56,3,35
56,4,36
56,5,35
57,0,31
57,1,31
57,2,35
57,3,35
57,4,35
57,5,35
58,0,34
58,1,34
58,2,40
58,3,35
58,4,35
58,5,35
59,0,29
59,1,29
59,2,33
59,3,33
59,4,34
59,5,36
60,0,25
60,1,25
60,2,29
60,3,30
60,4,29
60,5,29
61,0,29
61,1,29
61,2,33
61,3,40
61,4,39
61,5,39
62,0,26
62,1,25
62,2,29
62,3,29
62,4,29
62,5,28
63,0,25
63,1,25
63,2,28
63,3,29
63,4,29
63,5,29
