Run,Event,Triggers,zvtx,pt1,pt2,frcem,frcoh,maxJetET,dPhi,isDijet
47333,3005823,17-18-19-21-22-23-25-26-27-29-30-31,-22,60,22,0.78,0.18,61,3.117,1
49061,29625231,17-18-19-21-22-23-26-27-30-31,11,60,1,0.47,0.32,61,-2147480,0
47474,1289304,17-18-19-21-22-23-25-26-27-29-30-31,-29,62,2,0.88,0,62,-2147480,0
49264,7497033,17-18-19-21-22-23-26-27-30-31,10,63,1,0.81,0.18,63,-2147480,0
51212,20910699,17-18-19-21-22-23,17,68,23,-0.01,1.01,68,2.356,1
48985,1855309,17-18-19-21-22-23-26-27-29-30-31,-9,70,3,0.8,0.05,70,-2147480,0
50496,15394691,17-18-19-21-22-23-26-27-30-31,20,70,1,0.86,0.03,70,-2147480,0
47557,16555022,17-18-19-21-22-23,3,72,4,0.81,0,72,-2147480,0
50554,6778903,17-18-19-21-22-23-26-27-30-31,26,73,2,0.87,0,74,-2147480,0
49352,3475718,17-18-19-21-22-23-25-26-27-30-31,-20,76,2,0.17,0.79,77,-2147480,0
47501,2508977,17-18-19-21-22-23-26-27-29-30-31,-20,77,1,0.31,0.4,78,-2147480,0
51212,6996460,17-18-19-21-22-23-26-27-30-31,-14,79,2,0.87,0.01,80,-2147480,0
48002,3192041,17-18-19-21-22-23-25-26-27-29-30-31,-21,83,2,0.11,0.67,84,-2147480,0
48263,4912509,17-18-19-22-23-26-27-30-31,-18,89,1,0.8,0.02,90,0.454,1
48255,8721560,17-18-19-21-22-23-26-27-31,16,95,1,0.8,0,95,-2147480,0
50655,31890,17-18-19-21-22-23-26-27-30-31,12,95,14,0.87,0.01,96,0.786,1
48731,16453237,17-18-19-21-22-23-25-26-27-30-31,-11,96,6,0.81,0.04,96,-2147480,0
50500,24599119,17-18-19-21-22-23,25,99,3,0,0.99,100,2.883,1
49217,2651803,17-18-19-21-22-23-26-27-30-31,18,125,9,0.86,0,125,0.622,1
49264,12979193,17-18-19-21-22-23-26-27-29-30-31,-15,131,1,0.67,0.18,132,-2147480,0
48410,3946718,17-18-19-21-22-23-25-26-27-30-31,-21,147,1,0.22,0.57,150,-2147480,0
47552,377163,17-18-19-21-22-23-25-26-27-29-30-31,-4,196,175,0.13,0.78,198,2.682,1
50045,9509762,17-18-19-21-22-23-25-26-27-30-31,26,198,14,0.31,0.62,200,2.936,1
50463,5200769,17-21-26-30,-6,84079072,67103972,1,0,39,3.133,1
50036,7938830,17-21,27,91464464,89749192,1.02,-0.02,17,1.052,1
50036,13713957,17-21,17,95130728,68311816,1,0,27,2.655,1
50463,5207428,17-21,-28,96606408,83920048,0.99,0,17,0.69,1
50500,21502181,17-21,-1,112148160,107504568,0.99,0,11,-2147480,0
50036,7941154,17-18-21-22-26-27-30-31,-3,113869936,107627848,0.98,0.01,62,2.756,1
50551,8313719,17-21-26-27-30-31,16,120131920,111038944,0.98,0,11,-2147480,0
50262,7808449,17-21-25-26-30,15,122379736,89813200,0.99,0,64,2.849,1
50500,19800389,17-21-26-27-30-31,-14,123837056,106007112,0.99,0,10,-2147480,0
50262,7808834,17-21,6,130238160,96579936,0.99,0,10,-2147480,0
50536,6427268,17-21-26-27-29-30-31,16,133718192,112451696,1,0,15,0.479,1
50036,7914582,17-21-26-27-30-31,17,136203248,91674568,1,0,18,1.577,1
50554,10313317,17-18-21-22,5,136360544,86890584,0.99,0,24,2.534,1
50467,5833796,17-21-29,0,139793760,119259856,0.99,0,11,-2147480,0
50465,19616515,17-21-26-27-30-31,-10,146478032,139539232,1,0,8,-2147480,0
50036,13715109,17-21-25-26-27-30-31,2,148958448,112002216,0.99,0,688,3.039,1
50500,25123810,17-21-26-27-30-31,-8,153744032,114527896,1,0,55,2.744,1
50070,1962054,17-21,5,154587808,108532624,0.99,0,11,-2147480,0
50492,2601667,17-21,22,159738416,137405392,0.81,0.18,23,-2147480,0
50554,10307941,17-21,14,160728112,102648344,1,0,162,2.576,1
50262,7801028,17-21-29,26,162096032,88598712,1,0,15,0.584,1
