Index,Energy,Asymmetry,Chi2,DeltaR,GaussMean,GaussMeanError,GaussSigma,GaussSigmaError,S/B,S/Berror,NumEntry,Yield,YieldError,RelativeSignalError,LowerSignalBound,UpperSignalBound
0,1,0.5,4,0,0.167785,0.000226509,0.02574,1.56E-05,0.28202,0.00180342,4.51E+06,87454.2,660.742,0.00755529,0.116305,0.219265
1,1,0.5,4,0,0.168516,0.000236943,0.02574,8.28E-06,0.413528,0.00338223,1.43E+06,47004.3,403.186,0.00857764,0.117036,0.219996
2,1,0.5,4,0,0.16612,0.000290302,0.02475,1.42E-05,0.684144,0.00758972,385959,21769.4,231.765,0.0106464,0.11662,0.21562
3,1,0.5,4,0,0.163957,0.000345103,0.02376,4.13E-05,1.33434,0.0219706,104202,10474.8,141.064,0.013467,0.116437,0.211477
4,1,0.5,4,0,0.163005,0.000507023,0.02574,6.60E-05,2.28096,0.0589787,29383,4718.48,85.5219,0.0181249,0.111525,0.214485
5,1,0.5,4,0,0.161659,0.000579727,0.02475,0.000314644,4.6435,0.222082,9376,2265.4,55.3444,0.0244303,0.112159,0.211159
6,1,0.5,4,0,0.172702,0.000359272,0.0297,0.000455058,0.0981013,0.000570461,3.26E+07,207297,1609.72,0.00776528,0.113302,0.232102
7,1,0.5,4,0,0.182524,0.00034725,0.0284625,8.82E-06,0.0868254,0.00096102,1.01E+07,132663,1037.68,0.00782192,0.125599,0.239449
8,1,0.5,4,0,0.171668,0.000386937,0.02574,5.10E-05,0.236968,0.00231202,2.59E+06,42536.8,491.032,0.0115437,0.120188,0.223148
9,1,0.5,4,0,0.169736,0.000527959,0.02475,5.55E-05,0.279315,0.00449165,644783,17238.7,265.897,0.0154244,0.120236,0.219236
10,1,0.5,4,0,0.16703,0.000513162,0.02574,0.000334844,0.589131,0.0107911,161404,6838.73,148.889,0.0217714,0.11555,0.21851
11,1,0.5,4,0,0.163746,0.000617809,0.02626,0.000462603,1.35116,0.0321633,43759,3991.81,92.0869,0.023069,0.111226,0.216266
12,1,0.5,4,0,0.180347,0.000629828,0.0303,6.75E-05,0.025371,0.000243447,1.47E+08,358184,3548.33,0.00990644,0.119747,0.240947
13,1,0.5,4,0,0.186413,0.000846071,0.029403,0.000552353,0.0343052,0.000455386,4.49E+07,96093.1,2039.22,0.0212213,0.127607,0.245219
14,1,0.5,4,0,0.14375,1.72E-06,0.037875,2.02E-06,0.192106,0.00102632,1.10E+07,60513.9,1095.54,0.0181039,0.068,0.2195
15,1,0.5,4,0,0.1475,1.06E-05,0.0340875,1.07E-05,0.169874,0.00204673,2.60E+06,17179.4,534.919,0.0311372,0.079325,0.215675
16,1,0.5,4,0,0.14875,6.30E-05,0.032825,3.55E-05,0.295925,0.00460737,600463,7635.71,270.152,0.0353801,0.0831,0.2144
17,1,0.5,4,0,0.159456,0.000915096,0.0359373,0.0004554,0.646093,0.0116146,146146,9192.41,151.592,0.016491,0.0875816,0.231331
