Index,v2,v2_err,v2_type_3,v2_type_3_err,v2_type_4,v2_type_4_err,v3,v3_err,v2_m,v2_m_err,v2_bg,v2_bg_err,v2_bg_3,v2_bg_3_err,v2_bg_4,v2_bg_4_err
0,0.213664,0.0336974,0.16337,0.0439142,0.215158,0.0355413,-0.0935327,0.226323,0.250165,0.00756285,0.258999,0.00567254,0.271174,0.00878484,0.258647,0.00661001
1,0.101725,0.0340401,0.0553356,0.0416055,0.0694525,0.03687,-0.0164811,0.268724,0.229576,0.0111238,0.289856,0.00690243,0.311618,0.0125301,0.305005,0.00821323
2,0.124466,0.0421819,0.135371,0.0524732,0.129716,0.0447172,0.390431,0.227246,0.233117,0.0174761,0.314263,0.0117749,0.306969,0.0266989,0.310522,0.0150131
3,0.10098,0.0591774,0.123948,0.0746921,0.0894872,0.056074,0.617809,0.465414,0.201501,0.0299652,0.325049,0.0179479,0.296379,0.0501063,0.339086,0.0178718
4,0.203959,0.083627,0.263118,0.0917723,0.199549,0.0832939,0.492289,0.474493,0.245586,0.0542664,0.338781,0.0397531,0.201141,0.0958198,0.342796,0.0432346
5,0.0256026,0.103348,0.069257,0.100159,0.0394853,0.105195,0.726511,0.767724,0.0690287,0.0863653,0.280306,0.0853799,0.143142,0.165294,0.21107,0.105189
6,0.185125,0.0351675,0.172061,0.047591,0.158431,0.0345105,0.322911,0.314265,0.212746,0.00293566,0.214695,0.00172857,0.215614,0.00247518,0.21657,0.00190675
7,0.163489,0.0276141,0.0790569,0.0410708,0.146474,0.0272919,0.397087,0.560375,0.231336,0.00329384,0.239984,0.0027431,0.250782,0.00473381,0.242173,0.00310798
8,0.161066,0.0312574,0.172478,0.0458809,0.175235,0.035429,0.0413639,0.626556,0.246617,0.00617288,0.263646,0.00369053,0.261547,0.00787583,0.260795,0.00473099
9,0.0952953,0.044969,0.0789112,0.0428577,0.109513,0.044905,0.931735,0.641293,0.238442,0.0113429,0.285959,0.00618591,0.291692,0.0125897,0.281256,0.00722851
10,0.123834,0.0575049,0.0675462,0.0624037,0.143606,0.0548786,0.215594,0.519062,0.223951,0.0214978,0.285221,0.0115724,0.319454,0.0234483,0.273091,0.0138018
11,0.193703,0.0572612,0.162856,0.0686692,0.205657,0.058217,0.0644877,0.360261,0.247531,0.0323655,0.319807,0.0260989,0.357731,0.0470681,0.30259,0.0302854
12,0.116333,0.0859501,0.130913,0.11623,0.118296,0.0915366,0.3193,0.365336,0.0969902,0.00183504,0.0966947,0.00142339,0.0964712,0.00193235,0.0966655,0.00167691
13,0.0807208,0.0807833,0.0624484,0.142607,0.0803511,0.0877099,0.0564241,0.362426,0.112791,0.00265086,0.113696,0.00174649,0.114213,0.00341522,0.113709,0.00185856
14,0.179657,0.117968,0.267666,0.144544,0.1975,0.128114,0.134302,0.874215,0.129773,0.0044628,0.127905,0.00327444,0.124681,0.00496167,0.127253,0.00398721
15,0.0093103,0.143471,-0.0320433,0.206535,0.0368061,0.148932,0.00355856,1.14861,0.134046,0.00646562,0.139986,0.00355629,0.141865,0.00785176,0.138617,0.00571358
16,0.281628,0.145659,-0.0174177,0.198852,0.328575,0.147613,0.285745,0.950746,0.155641,0.0121471,0.140362,0.00674353,0.176541,0.0168866,0.134759,0.00902391
17,0.146696,0.0469426,0.107199,0.0814354,0.117618,0.048023,0.0679624,0.199507,0.157218,0.0184013,0.163315,0.0141048,0.187302,0.0430813,0.182742,0.0193869
